Target value,Label value
5687,Aberdeen
5688,Aberdeenshire
2289,Alabama - AL
2290,Alaska - AK
5725,Alberta
5681,Anglesey
5689,Angus
5719,Antrim
5690,Argyll and Bute
2291,Arizona - AZ
2292,Arkansas - AR
5720,Armagh
5631,Bedfordshire
5682,Breconshire
5726,British Columbia
5632,Buckinghamshire
5683,Caernarvonshire
2293,California - CA
5633,Cambridgeshire
5684,Cardiganshire
5685,Carmarthenshire
5634,Cheshire
5692,Clackmannanshire
5635,Cleveland
2294,Colorado - CO
2295,Connecticut - CT
5636,Cornwall
5637,Cumbria
2297,D.C. - DC
2296,Delaware - DE
5686,Denbighshire
5638,Derbyshire
5723,Derry and Londonderry
5639,Devon
5640,Dorset
5721,Down
5693,Dumfries and Galloway
5694,Dundee
5641,Durham
5695,East Ayrshire
5696,East Dunbartonshire
5697,East Lothian
5698,East Renfrewshire
5642,East Sussex
5691,Edinburgh
5699,Eilean Siar
5643,Essex
5700,Falkirk
5722,Fermanagh
5701,Fife
5674,Flintshire
2298,Florida - FL
2299,Georgia - GA
5675,Glamorgan
5702,Glasgow
5644,Gloucestershire
5645,Greater London
5646,Greater Manchester
5647,Hampshire
2300,Hawaii - HI
5648,Hertfordshire
5703,Highland
2301,Idaho - ID
2302,Illinois - IL
2303,Indiana - IN
5704,Inverclyde
2304,Iowa - IA
2305,Kansas - KS
5649,Kent
2306,Kentucky - KY
5650,Lancashire
5651,Leicestershire
5652,Lincolnshire
2307,Louisiana - LA
2308,Maine - ME
5727,Manitoba
2309,Maryland - MD
2310,Massachusetts - MA
5676,Merionethshire
5653,Merseyside
2311,Michigan - MI
5705,Midlothian
2312,Minnesota - MN
2313,Mississippi - MS
2314,Missouri - MO
5677,Monmouthshire
2315,Montana - MT
5678,Montgomeryshire
5706,Moray
2316,Nebraska - NE
2317,Nevada - NV
5728,New Brunswick
5729,Newfoundland and Labrador
2318,New Hampshire - NH
2319,New Jersey - NJ
2320,New Mexico - NM
2321,New York - NY
5654,Norfolk
5656,Northamptonshire
5707,North Ayrshire
2322,North Carolina - NC
2323,North Dakota - ND
5708,North Lanarkshire
5657,Northumberland
5730,Northwest Territories
5655,North Yorkshire
5658,Nottinghamshire
5731,Nova Scotia
5732,Nunavut
2324,Ohio - OH
2325,Oklahoma - OK
5733,Ontario
2326,Oregon - OR
5709,Orkney Islands
5659,Oxfordshire
5679,Pembrokeshire
2327,Pennsylvania - PA
5710,Perth and Kinross
5734,Prince Edward Island
5735,Quebec
5680,Radnorshire
5711,Renfrewshire
2328,Rhode Island - RI
5736,Saskatchewan
5712,Scottish Borders
5713,Shetland Islands
5660,Shropshire
5661,Somerset
5714,South Ayrshire
2329,South Carolina - SC
2330,South Dakota - SD
5715,South Lanarkshire
5662,South Yorkshire
5663,Staffordshire
5716,Stirling
5664,Suffolk
5665,Surrey
2331,Tennessee - TN
2332,Texas - TX
5666,Tyne and Wear
5724,Tyrone
2333,Utah - UT
2334,Vermont - VT
2335,Virginia - VA
5667,Warwickshire
2336,Washington - WA
5668,West Berkshire
5717,West Dunbartonshire
5718,West Lothian
5669,West Midlands
5670,West Sussex
2337,West Virginia - WV
5671,West Yorkshire
5672,Wiltshire
2338,Wisconsin - WI
5673,Worcestershire
2339,Wyoming - WY
5737,Yukon
